source_id,source_name,base_url,language,country_or_region,source_type,likely_coverage_strength,known_bias_or_positioning_if_obvious,notes_on_relevance
src_alarabiya,Al Arabiya,https://english.alarabiya.net,Arabic; English,Regional (Saudi/UAE Gulf media sphere),arab_regional,medium,Gulf-state aligned; often strongly anti-Iran/anti-Hezbollah in framing,"Useful for normalization discourse, anti-Iran framing, and rapid regional incident summaries."
src_alaraby,Al Araby Al Jadeed / The New Arab,https://www.alaraby.co.uk,Arabic; English,Regional,arab_regional,medium,Pan-Arab/Qatari-linked editorial environment,Useful for regional political framing and cross-border developments.
src_aljazeera_ar,Al Jazeera Arabic,https://www.aljazeera.net,Arabic,Regional (Qatar),arab_regional,medium,Qatari regional network,"Good for Arabic coverage of cross-border incidents, Gaza-linked escalation, and Lebanon/Israel war developments."
src_aljazeera_en,Al Jazeera English,https://www.aljazeera.com,English,Regional (Qatar),arab_regional,high_for_major_events_only,Qatari regional network,"Useful for major regional escalation, Iran-Israel spillover, diplomacy, and Beirut strikes."
src_almayadeen,Al Mayadeen,https://www.almayadeen.net,Arabic; English,Regional,arab_regional,medium,Widely seen as pro-Axis / Hezbollah-friendly,Useful as a contrast source for how pro-Hezbollah or Axis-friendly narratives package the same events.
src_anadolu,Anadolu Agency,https://www.aa.com.tr,Arabic; English; Turkish,Regional (Turkey),arab_regional,medium,Turkish state news agency,"Useful for short, citable English briefs on local strikes, injuries, and ceasefire-violation claims."
src_asharq_alawsat,Asharq Al-Awsat,https://aawsat.com,Arabic,Regional (Saudi-owned),arab_regional,medium,Saudi-owned pan-Arab daily,"Useful for diplomacy, Syria/Iran spillover, and Gulf-framed Lebanese political reactions."
src_the_national,The National,https://www.thenationalnews.com,English,Regional (UAE),arab_regional,medium,UAE-based English outlet,"Useful for Lebanese Christian politics, diplomacy, and state-security framing."
src_afp,Agence France-Presse (AFP),https://www.afp.com,French; English; Arabic,International,international_wire,high_for_major_events_only,Wire service,Useful corroboration layer for daily casualty snapshots and regional incident summaries.
src_ap,Associated Press,https://apnews.com,English,International,international_wire,high_for_major_events_only,Wire service,"Corroboration layer for major shocks, assassination events, and major casualty days."
src_reuters,Reuters,https://www.reuters.com,English,International,international_wire,high_for_major_events_only,Wire service,"Corroboration layer for diplomacy, official statements, and large-scale conflict milestones."
src_amnesty,Amnesty International,https://www.amnesty.org,English; Arabic; French,International,other,high_for_major_events_only,Human-rights NGO,"Useful for legal framing, casualty documentation, and retrospective assessments of attacks."
src_lebarmy,Lebanese Army,https://www.lebarmy.gov.lb,Arabic; English,Lebanon,other,medium,Official military source,"Primary source for arrests, deployments, confiscations, and military statements tied to border incidents."
src_times_of_israel,The Times of Israel,https://www.timesofisrael.com,English,Israel,other,medium,Israeli outlet,"Useful for same-day Israeli framing, disputed-responsibility incidents, and military-operation announcements when local Lebanese sourcing is sparse."
src_unifil,UNIFIL,https://unifil.unmissions.org,English; Arabic; French,South Lebanon / UN mission,other,high_for_major_events_only,UN peacekeeping mission; formal institutional language,"Useful for ceasefire monitoring language, official violation counts, and tripartite mechanism references."
